Step,Value,a,a
0.000000,0.997886,0.997290,0.997290
0.025000,0.997886,0.996997,0.996997
0.050000,0.995914,0.995988,0.995988
0.075000,0.991754,0.988009,0.988009
0.100000,0.986934,0.980699,0.980699
0.125000,0.980035,0.972802,0.972802
0.150000,0.977371,0.956627,0.956627
0.175000,0.965097,0.941217,0.941217
0.200000,0.952919,0.931256,0.931256
0.225000,0.944991,0.906057,0.906057
0.250000,0.933577,0.891495,0.891495
0.275000,0.912183,0.874341,0.874341
0.300000,0.898299,0.838165,0.838165
0.325000,0.884504,0.817479,0.817479
0.350000,0.867928,0.769986,0.769986
0.375000,0.828978,0.746641,0.746641
0.400000,0.809692,0.696299,0.696299
0.425000,0.789718,0.646908,0.646908
0.450000,0.745110,0.584606,0.584606
0.475000,0.722072,0.521669,0.521669
0.500000,0.656616,0.409620,0.409620
0.525000,0.602141,0.392700,0.392700
0.550000,0.510317,0.000000,0.000000
0.575000,0.433513,0.000000,0.000000
0.600000,0.000000,0.000000,0.000000
0.625000,0.000000,0.000000,0.000000
0.650000,0.000000,0.000000,0.000000
0.675000,0.000000,0.000000,0.000000
0.700000,0.000000,0.000000,0.000000
0.725000,0.000000,0.000000,0.000000
0.750000,0.000000,0.000000,0.000000
0.775000,0.000000,0.000000,0.000000
0.800000,0.000000,0.000000,0.000000
0.825000,0.000000,0.000000,0.000000
0.850000,0.000000,0.000000,0.000000
0.875000,0.000000,0.000000,0.000000
0.900000,0.000000,0.000000,0.000000
0.925000,0.000000,0.000000,0.000000
0.950000,0.000000,0.000000,0.000000
0.975000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
