Step,Value,a,a
0.000000,1.000000,1.000000,1.000000
0.025000,1.000000,1.000000,1.000000
0.050000,1.000000,1.000000,1.000000
0.075000,1.000000,1.000000,1.000000
0.100000,1.000000,1.000000,1.000000
0.125000,1.000000,1.000000,1.000000
0.150000,1.000000,1.000000,1.000000
0.175000,1.000000,1.000000,1.000000
0.200000,1.000000,1.000000,1.000000
0.225000,1.000000,1.000000,1.000000
0.250000,1.000000,1.000000,1.000000
0.275000,1.000000,1.000000,1.000000
0.300000,1.000000,1.000000,1.000000
0.325000,0.957447,0.957447,0.957447
0.350000,0.949153,0.949153,0.949153
0.375000,0.949153,0.949153,0.949153
0.400000,0.949153,0.949153,0.949153
0.425000,0.925373,0.925373,0.925373
0.450000,0.925373,0.925373,0.925373
0.475000,0.916667,0.916667,0.916667
0.500000,0.898734,0.898734,0.898734
0.525000,0.898734,0.898734,0.898734
0.550000,0.815217,0.815217,0.815217
0.575000,0.795918,0.795918,0.795918
0.600000,0.747748,0.741071,0.741071
0.625000,0.716535,0.710938,0.710938
0.650000,0.716535,0.710938,0.710938
0.675000,0.676471,0.671533,0.671533
0.700000,0.603774,0.600000,0.600000
0.725000,0.518135,0.502513,0.502513
0.750000,0.406375,0.384906,0.384906
0.775000,0.369718,0.351171,0.351171
0.800000,0.000000,0.000000,0.000000
0.825000,0.000000,0.000000,0.000000
0.850000,0.000000,0.000000,0.000000
0.875000,0.000000,0.000000,0.000000
0.900000,0.000000,0.000000,0.000000
0.925000,0.000000,0.000000,0.000000
0.950000,0.000000,0.000000,0.000000
0.975000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
