Step,Value,a,a
0.000000,0.513514,0.513514,0.513514
0.025000,0.513514,0.513514,0.513514
0.050000,0.513514,0.513514,0.513514
0.075000,0.513514,0.513514,0.513514
0.100000,0.513514,0.513514,0.513514
0.125000,0.513514,0.513514,0.513514
0.150000,0.513514,0.513514,0.513514
0.175000,0.513514,0.513514,0.513514
0.200000,0.513514,0.513514,0.513514
0.225000,0.513514,0.513514,0.513514
0.250000,0.513514,0.513514,0.513514
0.275000,0.513514,0.513514,0.513514
0.300000,0.513514,0.513514,0.513514
0.325000,0.000000,0.000000,0.000000
