Step,Value,a,a
0.000000,1.000000,1.000000,1.000000
0.025000,0.992593,0.992747,0.992747
0.050000,0.991015,0.989593,0.989593
0.075000,0.988752,0.987064,0.987064
0.100000,0.983994,0.977659,0.977659
0.125000,0.976875,0.969337,0.969337
0.150000,0.968831,0.956566,0.956566
0.175000,0.958108,0.942168,0.942168
0.200000,0.948060,0.926612,0.926612
0.225000,0.936314,0.911237,0.911237
0.250000,0.924579,0.892478,0.892478
0.275000,0.909772,0.867763,0.867763
0.300000,0.894114,0.838312,0.838312
0.325000,0.870885,0.805126,0.805126
0.350000,0.844596,0.764421,0.764421
0.375000,0.817031,0.721151,0.721151
0.400000,0.781527,0.712043,0.712043
0.425000,0.744956,0.000000,0.000000
0.450000,0.734991,0.000000,0.000000
0.475000,0.000000,0.000000,0.000000
0.500000,0.000000,0.000000,0.000000
0.525000,0.000000,0.000000,0.000000
0.550000,0.000000,0.000000,0.000000
0.575000,0.000000,0.000000,0.000000
0.600000,0.000000,0.000000,0.000000
0.625000,0.000000,0.000000,0.000000
0.650000,0.000000,0.000000,0.000000
0.675000,0.000000,0.000000,0.000000
0.700000,0.000000,0.000000,0.000000
0.725000,0.000000,0.000000,0.000000
0.750000,0.000000,0.000000,0.000000
0.775000,0.000000,0.000000,0.000000
0.800000,0.000000,0.000000,0.000000
0.825000,0.000000,0.000000,0.000000
0.850000,0.000000,0.000000,0.000000
0.875000,0.000000,0.000000,0.000000
0.900000,0.000000,0.000000,0.000000
0.925000,0.000000,0.000000,0.000000
0.950000,0.000000,0.000000,0.000000
0.975000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
