Step,Value,a,a
0.000000,1.000000,1.000000,1.000000
0.025000,1.000000,1.000000,1.000000
0.050000,1.000000,1.000000,1.000000
0.075000,1.000000,1.000000,1.000000
0.100000,1.000000,1.000000,1.000000
0.125000,1.000000,1.000000,1.000000
0.150000,1.000000,1.000000,1.000000
0.175000,0.964286,0.964286,0.964286
0.200000,0.964286,0.964286,0.964286
0.225000,0.939394,0.939394,0.939394
0.250000,0.936170,0.936170,0.936170
0.275000,0.936170,0.936170,0.936170
0.300000,0.936170,0.936170,0.936170
0.325000,0.936170,0.936170,0.936170
0.350000,0.927273,0.927273,0.927273
0.375000,0.927273,0.927273,0.927273
0.400000,0.920635,0.920635,0.920635
0.425000,0.920635,0.920635,0.920635
0.450000,0.897059,0.897059,0.897059
0.475000,0.844156,0.844156,0.844156
0.500000,0.790698,0.790698,0.790698
0.525000,0.747368,0.747368,0.747368
0.550000,0.735849,0.735849,0.735849
0.575000,0.735849,0.735849,0.735849
0.600000,0.725664,0.725664,0.725664
0.625000,0.666667,0.666667,0.666667
0.650000,0.000000,0.000000,0.000000
0.675000,0.000000,0.000000,0.000000
0.700000,0.000000,0.000000,0.000000
0.725000,0.000000,0.000000,0.000000
0.750000,0.000000,0.000000,0.000000
0.775000,0.000000,0.000000,0.000000
0.800000,0.000000,0.000000,0.000000
0.825000,0.000000,0.000000,0.000000
0.850000,0.000000,0.000000,0.000000
0.875000,0.000000,0.000000,0.000000
0.900000,0.000000,0.000000,0.000000
0.925000,0.000000,0.000000,0.000000
0.950000,0.000000,0.000000,0.000000
0.975000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
