Step,Value,a,a
0.000000,1.000000,1.000000,1.000000
0.025000,1.000000,1.000000,1.000000
0.050000,1.000000,1.000000,1.000000
0.075000,1.000000,1.000000,1.000000
0.100000,1.000000,1.000000,1.000000
0.125000,1.000000,1.000000,1.000000
0.150000,1.000000,1.000000,1.000000
0.175000,1.000000,1.000000,1.000000
0.200000,1.000000,1.000000,1.000000
0.225000,1.000000,1.000000,1.000000
0.250000,0.976190,0.976190,0.976190
0.275000,0.976190,0.976190,0.976190
0.300000,0.976190,0.976190,0.976190
0.325000,0.956522,0.956522,0.956522
0.350000,0.944444,0.944444,0.944444
0.375000,0.944444,0.944444,0.944444
0.400000,0.944444,0.944444,0.944444
0.425000,0.944444,0.944444,0.944444
0.450000,0.944444,0.944444,0.944444
0.475000,0.944444,0.944444,0.944444
0.500000,0.944444,0.944444,0.944444
0.525000,0.944444,0.944444,0.944444
0.550000,0.944444,0.944444,0.944444
0.575000,0.944444,0.944444,0.944444
0.600000,0.944444,0.944444,0.944444
0.625000,0.944444,0.944444,0.944444
0.650000,0.916667,0.916667,0.916667
0.675000,0.910891,0.910891,0.910891
0.700000,0.908257,0.908257,0.908257
0.725000,0.908257,0.908257,0.908257
0.750000,0.894737,0.894737,0.894737
0.775000,0.853659,0.853659,0.853659
0.800000,0.849206,0.849206,0.849206
0.825000,0.000000,0.000000,0.000000
0.850000,0.000000,0.000000,0.000000
0.875000,0.000000,0.000000,0.000000
0.900000,0.000000,0.000000,0.000000
0.925000,0.000000,0.000000,0.000000
0.950000,0.000000,0.000000,0.000000
0.975000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
