Step,Value,a,a
0.000000,1.000000,1.000000,1.000000
0.025000,0.998935,0.999086,0.999086
0.050000,0.998934,0.999086,0.999086
0.075000,0.998580,0.998478,0.998478
0.100000,0.998137,0.996811,0.996811
0.125000,0.996600,0.994907,0.994907
0.150000,0.995050,0.993644,0.993644
0.175000,0.993645,0.992487,0.992487
0.200000,0.992726,0.988820,0.988820
0.225000,0.990965,0.983919,0.983919
0.250000,0.987580,0.978107,0.978107
0.275000,0.984266,0.969792,0.969792
0.300000,0.980324,0.959109,0.959109
0.325000,0.974123,0.951394,0.951394
0.350000,0.967307,0.941451,0.941451
0.375000,0.962396,0.926854,0.926854
0.400000,0.956306,0.908704,0.908704
0.425000,0.946656,0.875947,0.875947
0.450000,0.934820,0.864066,0.864066
0.475000,0.914151,0.000000,0.000000
0.500000,0.894997,0.000000,0.000000
0.525000,0.000000,0.000000,0.000000
0.550000,0.000000,0.000000,0.000000
0.575000,0.000000,0.000000,0.000000
0.600000,0.000000,0.000000,0.000000
0.625000,0.000000,0.000000,0.000000
0.650000,0.000000,0.000000,0.000000
0.675000,0.000000,0.000000,0.000000
0.700000,0.000000,0.000000,0.000000
0.725000,0.000000,0.000000,0.000000
0.750000,0.000000,0.000000,0.000000
0.775000,0.000000,0.000000,0.000000
0.800000,0.000000,0.000000,0.000000
0.825000,0.000000,0.000000,0.000000
0.850000,0.000000,0.000000,0.000000
0.875000,0.000000,0.000000,0.000000
0.900000,0.000000,0.000000,0.000000
0.925000,0.000000,0.000000,0.000000
0.950000,0.000000,0.000000,0.000000
0.975000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000
